url,name,header,ciudad,precio_por_noche,rating,review,valor_ciudad,Anfitrion particular,Anfitrion profesional
/rooms/1051468498297341979?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000523_AjGY1XQb7PKGNDPZ&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Vivienda en Valencia,Estudio cerca de la playa,valencia,50,4.0,3,3,1,0
/rooms/6873422?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-22&check_out=2024-01-27&source_impression_id=p3_1705000523_NofghNCz7u22ecLI&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Loft en Valencia,loft en pleno centro de valencia,valencia,87,4.81,279,3,1,0
/rooms/53132652?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000523_ybJpcQ6fsZa%2B3UVj&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Loft en Valencia,acogedor loft con gran terraza,valencia,132,4.92,128,3,1,0
/rooms/1019461655630012803?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000523_TgrppzCvMZfnc%2F0p&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,Apartamento exclusivo con terraza privada de 20m2,valencia,115,5.0,11,3,1,0
/rooms/15860059?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-02&check_out=2024-06-07&source_impression_id=p3_1705000523_sPwXJvKZPVUqfdvE&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,Centro Valencia/ plaza reina-Ayuntamiento-Netflix,valencia,106,4.66,377,3,1,0
/rooms/13159472?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1705000524_w4S3y9rcSAnewdRw&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Apto. residencial en Alboraia,"Apto con piscina playa Patacona , Valencia",valencia,92,4.81,134,3,1,0
/rooms/844723418720359153?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000524_jKUiDe%2FW3uQ1w%2BOS&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Apartamento en Valencia,Loft Lagom con terraza centrico,valencia,83,4.91,44,3,1,0
/rooms/739637712522909107?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-11&check_out=2024-05-16&source_impression_id=p3_1705000524_iiw3h9UIQhmLGT3C&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Apartamento en Valencia,Lujoso hogar a un 1 minuto del Jardín del Turia.,valencia,89,4.91,100,3,0,1
/rooms/19420665?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000524_vah7y1xvGvS5kppx&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Apto. residencial en Valencia,Casa Progreso/ Casa junto al mar,valencia,113,4.93,237,3,1,0
/rooms/889236537586336143?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000524_utN7jyCTC2wN74Cg&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Apartamento en Valencia,Bombon Apartamento,valencia,65,4.59,17,3,0,1
/rooms/680867602535960387?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000524_cmI9snwPlTnv9uUF&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Apartamento en Valencia,"Piso en pleno Centro con Wifi, AC y Roof Terrace",valencia,82,4.67,51,3,1,0
/rooms/20845899?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-10&check_out=2024-03-15&source_impression_id=p3_1705000524_H0oKvCzGzvvlBsFd&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Loft en Valencia,2B CASUAL-CHIC STUDIO EN EL CENTRO HISTORICO,valencia,78,4.7,307,3,1,0
/rooms/1016666190086921894?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-31&check_out=2024-02-05&source_impression_id=p3_1705000524_7DilJ5Sn903UQrAb&previous_page_section_name=1000&federated_search_id=9f62de9e-ef51-4d5b-9bdc-096fe4e7cfc2,Apartamento en Valencia,Escapada artística moderna: nómadas y parejas digitales,valencia,97,4.89,9,3,0,1
