apartment_id,name,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,city,insert_date,bookable_False,bookable_True,mes,Estacion
18534416,Bright Room in Quiet Local Area,2,1,1,1,55,1,4,0,0,0,0,1,100,10,10,10,10,10,10,0.03,barcelona,2020-03-16,1,0,3,invierno
21721664,Great apartment in Sagrada Familia with 2 bdrm,5,1,2,3,167,1,1125,23,53,83,275,57,85,9,9,9,9,9,9,2.12,barcelona,2020-03-16,0,1,3,invierno
28947319,ATOCHA Apartamento Listo para disfrutar Madrid,4,1,2,4,77,3,1125,15,25,52,323,67,96,10,10,10,10,9,9,3.85,madrid,2020-03-17,0,1,3,invierno
2252574,CITY CENTER,2,2,1,1,25,2,1125,4,21,40,48,347,96,10,10,10,10,10,10,6.26,barcelona,2018-09-11,0,1,9,verano
5740305,Un económico apto en una zona verde,4,1,1,0,50,1,1125,10,39,69,341,60,91,9,9,9,9,9,9,1.3,madrid,2019-01-14,1,0,1,invierno
18560382,"Central, spacious and bright studio, Rambla, AC",4,1,0,3,149,2,29,4,18,41,308,30,93,9,9,10,10,10,9,2.43,barcelona,2018-07-10,0,1,7,verano
32358784,Cozy Atocha Apartment AC & WIFI,4,1,1,2,60,3,1000,6,11,28,202,10,96,10,10,10,10,10,10,3.75,madrid,2019-05-14,0,1,5,primavera
2344485,*Barcelona Single Room,1,1,1,1,33,1,30,11,23,42,132,13,98,10,10,10,10,10,10,0.88,barcelona,2018-05-14,1,0,5,primavera
38499809,Latina V,10,2,4,5,98,1,27,14,35,35,202,1,100,10,10,6,10,10,10,1.0,madrid,2019-11-09,0,1,11,otoño
18012071,"Large bedroom + en-suite bathroom, great location",1,1,1,1,75,1,13,0,0,0,0,10,98,10,9,10,10,10,10,0.57,barcelona,2018-10-10,0,1,10,otoño
610246,Appartment in the heart the Bcn,3,1,2,2,140,3,1125,9,32,62,337,48,98,10,10,10,10,9,9,0.82,barcelona,2017-08-06,1,0,8,verano
24428148,C2 2 1H Habitación. Apartamento Nuevo y Moderno,2,1,1,4,110,1,1125,25,55,85,360,3,87,10,7,8,10,8,9,0.15,madrid,2019-12-10,1,0,12,otoño
1440247,Small Comfy apartment (14B),4,1,1,2,175,3,1125,30,60,90,365,12,93,9,10,10,10,9,10,0.24,barcelona,2017-10-07,1,0,10,otoño
22542701,Legazpi appartment,4,1,2,3,70,3,7,8,17,33,82,22,97,10,10,10,9,10,9,1.72,madrid,2019-03-08,1,0,3,invierno
40446567,Apartamento duplex a un paso del centro histórico,6,1,3,4,50,2,1125,11,24,50,157,3,93,10,9,7,9,9,9,3.0,valencia,2020-01-31,0,1,1,invierno
1199380,Picasso Suites 1.3 Paseo de Gracia,4,2,1,1,169,1,90,11,35,65,340,212,92,10,10,10,10,10,9,2.75,barcelona,2019-10-16,0,1,10,otoño
14392407,45m² flat in Raval (L1-L2 Universitat-Sant Antoni),2,1,1,1,60,7,10,0,0,0,0,2,90,10,9,10,10,7,8,0.15,barcelona,2017-10-07,1,0,10,otoño
14965707,ACOGEDOR APARTAMENTO CON HABITACIÓN INDIVIDUAL BCN,1,1,1,1,30,2,1125,0,0,0,0,1,100,10,10,10,10,4,10,0.02,barcelona,2020-01-10,1,0,1,invierno
21305453,TRAVESÍA DEL ALMENDRO - Bright and calm in the historical center@LaLatina,4,1,1,2,90,1,1125,0,0,0,0,18,94,10,10,10,9,10,9,1.51,madrid,2018-10-10,0,1,10,otoño
21690567,2 bedrooms with terrace  Eixample,4,1,2,3,60,32,1125,29,59,89,364,1,100,10,10,8,8,10,10,0.03,barcelona,2021-02-09,1,0,2,invierno
23562718,COZY APARTMENT SOL- 3 BEDROOMS,5,1,3,3,175,10,1125,5,35,65,340,1,100,6,8,8,8,10,8,0.08,madrid,2019-05-14,1,0,5,primavera
956256,Amazing terraze: flat&views&wi-fi,5,1,3,3,80,3,1125,3,23,47,302,114,95,10,9,10,10,10,9,2.19,barcelona,2017-10-07,1,0,10,otoño
40285387,Apartamento nuevo en zona Chamberí centro,2,1,1,2,59,1,1125,13,33,59,120,7,94,9,10,10,10,10,9,2.84,madrid,2020-02-18,0,1,2,invierno
23193038,Amazing apartment 2 bedroom in Eixample,5,1,2,3,138,1,1125,5,21,36,290,52,93,9,10,9,9,9,9,3.16,barcelona,2019-07-10,0,1,7,verano
14097428,I rent a private room,2,2,1,1,30,1,1125,0,0,0,61,257,89,9,7,9,9,10,9,5.72,valencia,2020-03-26,0,1,3,invierno
16869002,Casa Cosi - Letamendi,4,2,2,2,193,1,1124,13,29,50,311,21,91,10,10,9,10,10,9,0.89,barcelona,2019-02-06,0,1,2,invierno
40304751,Moderno y Luminoso Apto. Frente Matadero C/Bolivar,6,2,2,4,100,2,1125,0,0,0,0,10,98,10,10,10,10,10,10,0.68,madrid,2021-02-09,0,1,2,invierno
896291,Beautiful and Brigth Room for Rent,2,1,1,1,19,2,1125,0,0,8,283,6,100,10,10,10,10,8,10,0.09,madrid,2018-10-10,1,0,10,otoño
10581101,Grand apartment Sagrada Familia,8,2,4,6,190,2,1125,6,24,49,95,103,90,10,9,10,10,9,9,2.51,barcelona,2019-08-12,0,1,8,verano
848480,"Best Design, Views and Location",8,3,3,3,155,2,1000,1,1,1,1,50,94,9,10,9,10,10,9,0.61,madrid,2020-01-10,1,0,1,invierno
21693248,Ventura Rodríguez City Center,4,1,1,1,88,2,1125,5,5,5,5,5,100,10,10,10,10,10,10,0.88,madrid,2018-05-14,0,1,5,primavera
725659,Sunny flat in the heart of Gracia,6,1,2,3,75,3,1125,0,2,8,277,105,94,10,9,10,10,10,10,1.67,barcelona,2018-05-14,1,0,5,primavera
