nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
Adorable Habitación doble cerca de Plaza Cataluña,55,75,91,barcelona,197152,100
"Stylish 1 Bed Apt, Placa Catalunya",185,19,98,barcelona,197152,100
La Barceloneta (double room),30,40,94,barcelona,197152,100
SMART HOUSES CHUECA 32 WIFI,45,140,92,madrid,152465,90
"barrio Sagrada Familia,bano privado",25,10,92,barcelona,197152,100
"BONITO APTO - ZONA GOYA, AL LADO DEL WIZINK CENTER",60,8,98,madrid,152465,90
Like a Virgin Plaza Mayor,90,56,89,madrid,152465,90
APARTAMENTO EN PLENO CENTRO,65,62,93,madrid,152465,90
Modern & stylish apartment in Valencia center,284,16,96,valencia,196697,45
DOUBLE ROOM IN THE CENTER OF GRACIA,27,24,86,barcelona,197152,100
All new apartment near Park Güell - 4 persons,82,374,95,barcelona,197152,100
Bright penthouse in great location and good views,135,20,100,valencia,196697,45
TH Maritim 3-1,41,1,100,valencia,196697,45
Perfect single Room for business or adventures,25,8,97,barcelona,197152,100
1779 - AB Barceloneta Beach Sal I - Lovely three bedroom apartment in Barcelona for rent,100,1,100,barcelona,197152,100
New! Cozy apartment in Salamanca neighborhood,120,43,93,madrid,152465,90
Beautiful room only girls,45,2,80,barcelona,197152,100
Best location refurbished 2nd floor double room fl,178,8,90,madrid,152465,90
Room for one in Poble Nou,18,1,100,barcelona,197152,100
Very centric modernist flat.,114,103,93,barcelona,197152,100
tranquilidad y comodidad todo en un mismo lugar.,25,17,99,madrid,152465,90
Habitación suite en ático con terraza. Sant Antoni,53,124,99,barcelona,197152,100
Apartament Boqueria Ramblas central,98,56,88,barcelona,197152,100
ACÀCIES - 3,90,14,93,barcelona,197152,100
CITY CENTRE★NEW★SUPERB LOCATION★3BD-2BT★WIFI,142,59,91,madrid,152465,90
Habitación grande y luminosa,30,8,100,madrid,152465,90
"Cosy and modern, only few steps to Sagrada Familia",67,11,76,barcelona,197152,100
El Patio de Madrid (Apartamento en elcentro),32,30,99,madrid,152465,90
Cozy flat with terrace,120,26,95,barcelona,197152,100
COMFORTABLE APARTMENT NEAR PLAZA ESPAÑA,132,97,88,barcelona,197152,100
Alquiler de Habitación,25,36,94,madrid,152465,90
